query_index,requested_qpos_m,basket_offset_x_m,basket_offset_y_m,actual_qpos_0_m,actual_qpos_1_m,actual_qpos_2_m,qpos_max_abs_error_m,qvel_norm_m_s,oracle_contact,oracle_penetration,min_separation_m
884,0.0675,0.040000000000000036,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095986157655716
885,0.0675,0.06,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095986157655716
886,0.0675,0.08000000000000002,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095986157655716
887,0.0675,0.10000000000000003,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
888,0.0675,0.12000000000000005,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
889,0.0675,0.14000000000000007,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
890,0.0675,0.15999999999999998,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959846675395966
891,0.0675,0.18,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095986157655716
892,0.0675,0.2,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095986157655716
893,0.0675,0.22000000000000003,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095986157655716
894,0.0675,0.24000000000000005,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095986157655716
895,0.0675,0.26000000000000006,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095986157655716
896,0.0675,0.2800000000000001,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095986157655716
897,0.0675,0.3,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02095986157655716
898,0.0675,0.32,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.015421509742736816
899,0.0675,0.34,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,0.004426747560501099
900,0.0675,0.36000000000000004,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
901,0.0675,0.38000000000000006,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
902,0.0675,0.4000000000000001,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
903,0.0675,0.42,0.06,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
904,0.0675,-0.42,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
905,0.0675,-0.39999999999999997,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
906,0.0675,-0.38,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
907,0.0675,-0.36,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,
908,0.0675,-0.33999999999999997,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,False,False,0.006578236818313599
909,0.0675,-0.31999999999999995,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.01332758367061615
910,0.0675,-0.3,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959801971912384
911,0.0675,-0.27999999999999997,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959801971912384
912,0.0675,-0.26,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959816873073578
913,0.0675,-0.24,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959816873073578
914,0.0675,-0.21999999999999997,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.020959816873073578
915,0.0675,-0.19999999999999998,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.025854818522930145
916,0.0675,-0.18,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
